Name,Years,Returns,Slope,Intercept
3M,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[-2.378447706269271, 45.38871074765589, 14.562336829884925, -0.47684725240831893, 19.30427805097017, 34.5345700757657, 13.523253111554133, -0.17139388494924468, 33.02910039294395, 11.637725419297373, 15.086959696814706, 9.186773478038845, 11.466763016462833, 1.502423828685151, 28.43154510460637, 33.471279196912775, 1.208119146109543, -11.044874390224969, 41.09619680098231, 26.24633845322084, 0.1928280795945314, 6.415623990701214, 40.6246844930819, -1.7446504782742012, -3.4996818561294774, 2.972855299526267, 10.74000521333771, -29.83186700281778, 48.53372319956293, 7.068766790901848, -2.8364730042203634, 16.666846955274895, 54.44914469988091, 20.003629658465762, -5.9115235169126095, 21.71670819548335, 34.903795098536186, -16.899154175743536, -4.290778294561748, 2.765188556878928, 4.850522669659796, -29.62634620741418, -3.328093440199509]",-0.37908296896077737,770.5413263022825
A. O. Smith,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[-35.000024842696796, 107.69227472906104, -10.394145351100825, -38.42312542107835, 33.92851710657712, -11.274073941038631, 24.62064357574132, 22.49805086531753, 118.77746428841634, 92.95565716169287, -30.247802021911784, -13.20995644916274, 47.99372564011517, 44.15376395203119, -11.183248136306522, -9.233217300429553, -19.655514293285, 17.763218510926016, 41.36318471199685, 32.361078510043264, -12.760261742143964, 19.904856071072064, 8.722161026499409, -5.044415393575807, -13.8306632038541, 50.32930487113665, 33.750313547949304, 6.899724405333996, 59.5131943014126, 73.00574576403494, 5.884897234714304, 37.35023643062285, 25.072993409072495, 30.781113477526013, -29.348721232753615, 13.648932965818483, 17.46169572452303, 59.27827525271046, -32.07426491257007, 46.67732175291537]",0.06591405130578644,-112.04107901500932
Abbott,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[-4.4248390102797135, 43.51850674047824, 19.285850398620894, -5.1608246174101975, 68.21242977335528, 36.055059879707294, 7.039059124883362, 2.2090601100585694, 44.70633145870533, 35.23265854498854, 56.098511514031, -10.095112444105736, 0.019452474740644377, 12.97523135855072, 30.450157250767095, 24.55635979959696, 31.970757925899452, 51.84143898692408, -24.791636283818274, 35.84300502665625, 17.078115787841753, -26.733689178561715, 19.272136082175795, 17.80315482625181, -13.48313770305779, 26.863921948097634, 18.043287142099818, -2.485555793320271, 4.57908899783519, -8.26887557942948, 21.77621741943787, 20.295102919694628, 23.95660546651639, 20.083733696956195, 1.8717604253844167, -12.32066289651349, 52.028195145023034, 29.061821810032473, 22.080224646710445, 28.040732874445485, 30.52832645613208, -20.681904064189148, 2.260632615527336]",-0.3069149038546157,631.3550489368811
AbbVie,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[27.918279029121095, -6.500781630013208, 9.792002803269174, 60.07493599132974, -0.9565158315860356, 1.4681854802118144, 27.718269397105534, 32.426031738830474, 24.007698117320132, -0.23483598266611505]",-0.12905351919890787,278.0658554142878
Accenture,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[-33.17232480772032, 46.303474479667386, 2.5836145385281784, 8.220436718018531, 29.3381424822202, -1.4090152352834173, -7.544237044428293, 29.01761268025622, 19.040311744719386, 11.992843838147294, 27.74914336902974, 26.623810127661017, 11.421087151382725, 19.530221963976757, 14.351719645631356, 33.33590174382402, -6.228682405578101, 51.21360650973894, 26.040404843421516, 60.66535712434076, -34.75325087167652, 33.59508978102173]",0.9107626819079229,-1816.1864760498356
Adobe Inc.,"[1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[131.37213696172387, 66.10174580227535, -17.346904933023655, 44.62847150259588, 126.01332106013317, -51.563992535721724, 42.50329707997356, 34.65552688256186, 109.32774959972713, -39.37883666867814, 11.107415067023174, 13.728564983640368, 188.36283712123333, 73.1547115502827, -46.541130665977605, -20.01150260508887, 57.83063731191793, 60.770848420551026, 17.84268116479215, 11.25541112137034, 3.915371235827436, -50.17551803509075, 72.75714982460278, -16.313209058692824, -8.154646435634572, 33.28616800509418, 58.91719899983661, 21.409478375833423, 29.215964765838454, 9.591222346897199, 70.21856307704941, 29.10294362093562, 45.77881433465536, 51.63882199427161, 13.384788269807313, -40.65354632169702, 77.27987928267868]",-0.7921067463841119,1621.012200351591
Advanced Micro Devices,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[-48.91304347826087, 113.82978723404253, 167.66169154228857, -12.26765799256505, -1.6949152542372836, -52.58620689655172, -28.181818181818187, -12.658227848101266, -8.695652173913048, -38.095238095238095, 258.974358974359, 3.571428571428581, -2.0689655172413834, 40.14084507042253, -33.66834170854271, 56.060606060606055, -31.06796116504854, 63.38028169014085, -0.21551724137931494, -4.535637149028082, 14.823526926170105, -59.26859912996759, 130.65014753164434, 47.785241755165295, 38.96457650018337, -33.49673160856245, -63.14496383582706, -71.19999885559082, 348.1481444688493, -15.495867280065767, -33.985331370334336, -55.55555457440915, 61.24998882412955, -31.007747926374375, 7.490629346450928, 295.12197229160637, -9.347446255323, 79.57198019437331, 148.42905138021374, 99.97818984714925, 56.90763857051218, -54.98957651821777, 127.58995106091228]",1.2081713509597098,-2384.847671649617
AES Corporation,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[-18.57094918098403, 28.81610267055239, -13.18766843688447, 22.435897704796993, 94.76439132851458, 100.53761164718122, 1.6085813461546916, 57.783674934324615, 48.16056215137292, -70.47404208367654, -81.52905648716252, 212.58294334420117, 44.80924891387508, 15.80105768562381, 39.22930799561153, -2.9491949110291182, -61.477330285545875, 61.529139616372454, -8.489861698238654, -2.791449539000601, -9.281144332582048, 37.34773150266217, -3.7440900371439767, -28.204914160269688, 26.38603400233681, -2.689360983554423, 39.020570671071496, 42.15949821839751, 22.147197215211012, 5.945572374134733, 21.688029864035798, -30.875853047697166]",-0.844829611365992,1714.385702254812
Aflac,"[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[1.6664595449685793, 100.00100813200228, 57.376472554453414, 29.818377705549825, 81.80054114013522, 27.173979239317838, 10.493946059436254, -0.8569770882444705, 33.12534524397262, 8.571701665751231, 58.56947756119797, 17.138003923226663, 4.6045037509487186, 13.83064223804964, 37.65237487380497, 49.070920003652674, 20.72721737629266, 72.95310306059251, 8.184528296948557, 53.95053315187099, -31.487226245423237, 23.608560167517535, 21.22642379955193, 11.197072339813818, 17.717607341369135, 0.29478152681248204, 38.23803132631796, -25.513017228599978, 4.433720772594207, 24.907651578219927, -21.29399133896558, 26.377434332387438, 28.904022346750267, -6.255527776398018, 0.5361308417039856, 19.100443957231448, 29.022592807304814, 6.202847675227785, 18.550869997385867, -13.59989707460888, 34.5487309649412, 26.411129988495375, 17.36303071765932]",-0.7668626700253757,1557.0344975129235
Agilent Technologies,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","[-29.183485104863728, -47.926938163342236, -37.00455798864021, 62.80623867684045, -17.57865860467861, 38.13276468346716, 11.105870975760501, 5.423276572045221, -57.457819625830496, 98.7844186767382, 33.34403774369363, -15.689104713598967, 18.37789115810933, 41.131561083205085, 0.7827826655302905, 3.465011449517963, 10.162702585952621, 48.317890577159986, 1.665375793338053, 27.539599005585515, 39.79091583841014, 35.50961814527707, -5.522703302231358, -6.421529476004539]",1.3256907963142128,-2655.812238508896
